,record
823,8131
824,9448
825,11582
826,540
827,5150
828,5975
829,7116
830,8652
831,1730
832,9315
833,6
834,12448
835,11339
836,4376
837,2588
838,5389
839,1556
840,9945
841,9676
842,6828
843,8071
844,7714
845,1238
846,2209
847,6218
848,3442
849,11237
850,7255
851,4498
852,12725
853,11907
854,3913
855,7710
856,6539
857,2618
858,10641
859,6840
860,8234
861,11120
862,10742
863,11971
864,2345
865,5950
866,11181
867,6687
868,8559
869,6554
870,5472
871,12281
872,5944
873,498
874,9417
875,162
876,2422
877,10704
878,12885
879,8577
880,13423
881,11779
882,1924
883,8010
884,11467
885,1836
886,3345
887,6923
888,3892
889,1937
890,3390
891,4683
892,6831
893,12870
894,3588
895,6373
896,4816
897,2384
898,3753
899,2301
900,2017
901,10901
902,3972
903,5105
904,8697
905,8893
906,5928
907,12089
908,1543
909,9125
910,2012
911,3575
912,12799
913,12043
914,12467
915,4832
916,8162
917,11122
918,1955
919,7603
920,9071
921,483
922,1586
923,6706
924,10029
925,5289
926,11709
927,5383
928,4962
929,7915
930,5255
931,3300
932,2
933,7147
934,6149
935,1879
936,8140
937,3857
938,10168
939,9489
940,9962
941,8159
942,9443
943,13104
944,8442
945,6529
946,10723
947,4857
948,8160
949,11106
950,10476
951,9290
952,9025
953,113
954,5897
955,10482
956,12274
957,10659
958,10213
959,1147
960,6570
961,9772
962,12945
963,5741
964,7100
965,3261
966,3377
967,4206
968,605
969,13316
970,1312
971,13449
972,1082
973,10296
974,5699
975,4171
976,4325
977,3306
978,13205
979,3982
980,10883
981,12807
982,1231
983,9108
984,2676
985,3762
986,2863
987,3488
988,7760
989,11822
990,1993
991,7087
992,7101
993,2851
994,2146
995,11815
996,2567
997,5886
998,9036
999,11497
1000,9915
1001,9040
1002,8484
1003,2800
1004,3664
1005,950
1006,3484
1007,4386
1008,11187
1009,6221
1010,7072
1011,11038
1012,11720
1013,3735
1014,2127
1015,7568
1016,5518
1017,13300
1018,6272
1019,2171
1020,6033
1021,12322
1022,2296
1023,10856
1024,4665
1025,7542
1026,8834
1027,2671
1028,10523
1029,2346
1030,3294
1031,10318
1032,9314
1033,10131
1034,859
1035,6157
1036,7684
1037,10439
1038,6535
1039,5782
1040,9829
1041,9186
1042,5530
1043,146
1044,533
1045,1934
1046,6428
1047,9591
1048,2988
1049,5722
1050,9235
1051,11086
1052,10792
1053,7534
1054,4940
1055,448
1056,1553
1057,10005
1058,6887
1059,1610
1060,12733
1061,4680
1062,3130
1063,11901
1064,13630
1065,11600
1066,10445
1067,7687
1068,6020
1069,7401
1070,10256
1071,2023
1072,9287
1073,8406
1074,5352
1075,3487
1076,11778
1077,13563
1078,157
1079,10814
1080,6321
1081,3031
1082,948
1083,11438
1084,5986
1085,5335
1086,8173
1087,1119
1088,8681
1089,1630
1090,2434
1091,392
1092,10103
1093,3521
1094,8310
1095,1
1096,2353
1097,5240
1098,4126
1099,1778
1100,4548
1101,7432
1102,2533
1103,2010
1104,6763
1105,6620
1106,12167
1107,5268
1108,9469
1109,1538
1110,12314
1111,2233
1112,10546
1113,3405
1114,2855
1115,5555
1116,8368
1117,7523
1118,5706
1119,11838
1120,13134
1121,8325
1122,12783
1123,1699
1124,9467
1125,6160
1126,8513
1127,7081
1128,6451
1129,3684
1130,3280
1131,662
1132,11422
1133,6123
1134,3146
1135,1362
1136,7819
1137,3699
1138,1476
1139,2610
1140,4494
1141,6073
1142,6302
1143,11931
1144,2100
1145,4380
1146,7095
1147,12828
1148,13177
1149,290
1150,12419
1151,11097
1152,5647
1153,13492
1154,6305
1155,5653
1156,9946
1157,365
1158,11754
1159,11150
1160,5014
1161,7026
1162,4278
1163,10258
1164,6588
1165,13176
1166,11689
1167,5850
1168,663
1169,10269
1170,4814
1171,7239
1172,11978
1173,1753
1174,12062
1175,5182
1176,3274
1177,1251
1178,4032
1179,11674
1180,3099
1181,9846
1182,8921
1183,8942
1184,1967
1185,4998
1186,386
1187,1286
1188,5643
1189,9406
1190,2620
1191,11015
1192,12
1193,9372
1194,12647
1195,5427
1196,12449
1197,2738
1198,6273
1199,234
1200,351
1201,6595
1202,4096
1203,6148
1204,4027
1205,5732
1206,8486
1207,2757
1208,10865
1209,1412
1210,8235
1211,3410
1212,9697
1213,11203
1214,5013
1215,7790
1216,6333
1217,7587
1218,12151
1219,3596
1220,11103
1221,7156
1222,2662
1223,11322
1224,8479
1225,3343
1226,10315
1227,11810
1228,8992
1229,5156
1230,5210
1231,8007
1232,13602
1233,7105
1234,7505
1235,9757
1236,7407
1237,7984
1238,6612
1239,4180
1240,5101
1241,2941
1242,7638
1243,3591
1244,5760
1245,3414
1246,11220
1247,3092
1248,13073
1249,10978
1250,8883
1251,1943
1252,7062
1253,5003
1254,7512
1255,6204
1256,7965
1257,10235
1258,864
1259,3815
1260,8509
1261,857
1262,3317
1263,7167
1264,9149
1265,8987
1266,10415
1267,10907
1268,130
1269,5122
1270,3358
1271,1379
1272,8583
1273,12997
1274,6018
1275,8036
1276,9577
1277,2696
1278,10632
1279,8067
1280,5307
1281,7566
1282,12177
1283,7632
1284,6058
1285,13273
1286,9311
1287,5462
1288,7817
1289,3480
1290,9468
1291,7834
1292,1965
1293,13355
1294,6044
1295,5440
1296,10777
1297,6267
1298,9333
1299,13465
1300,11998
1301,9299
1302,1219
1303,11569
1304,6986
1305,12952
1306,891
1307,1000
1308,4573
1309,13058
1310,13290
1311,1363
1312,2688
1313,11039
1314,10466
1315,3288
1316,3917
1317,13543
1318,6977
1319,10033
1320,1736
1321,384
1322,2847
1323,2123
1324,1503
1325,2519
1326,12890
1327,6079
1328,4856
1329,1282
1330,5292
1331,8508
1332,7777
1333,3208
1334,10601
1335,5922
1336,598
1337,11386
1338,7036
1339,6973
1340,7199
1341,3073
1342,8152
1343,8562
1344,4056
1345,5249
1346,11132
1347,9498
1348,6932
1349,4718
1350,12823
1351,6316
1352,4072
1353,13463
1354,1070
1355,11172
1356,8066
1357,4169
1358,13032
1359,1181
1360,1016
1361,13467
1362,5094
1363,1386
1364,10455
1365,3524
1366,13505
1367,240
1368,7751
1369,9004
1370,500
1371,1010
1372,11879
1373,12113
1374,10861
1375,7421
1376,8079
1377,7824
1378,12209
1379,791
1380,5830
1381,7532
1382,12128
1383,1269
1384,13224
1385,1585
1386,13502
1387,8342
1388,429
1389,6898
1390,6984
1391,6600
1392,11811
1393,11593
1394,12196
1395,1306
1396,266
1397,9714
1398,5062
1399,3297
1400,11018
1401,1772
1402,10847
1403,5708
1404,12197
1405,6277
1406,6860
1407,4246
1408,2061
1409,7366
1410,1438
1411,5396
1412,4398
1413,11309
1414,7041
1415,6161
1416,8574
1417,4362
1418,3244
1419,12840
1420,877
1421,2825
1422,9751
1423,3854
1424,2517
1425,2184
1426,387
1427,9350
1428,8014
1429,2466
1430,2914
1431,541
1432,10826
1433,9340
1434,11257
1435,1138
1436,4980
1437,5048
1438,4819
1439,49
1440,7005
1441,2018
1442,1129
1443,11405
1444,7757
1445,9476
1446,1079
1447,10117
1448,4162
1449,5611
1450,4739
1451,7504
1452,13264
1453,12492
1454,10894
1455,854
1456,6446
1457,4189
1458,12708
1459,13552
1460,4712
1461,7290
1462,6795
1463,6440
1464,4166
1465,10402
1466,670
1467,331
1468,4779
1469,8003
1470,2516
1471,3973
1472,11333
1473,4715
1474,4087
1475,10720
1476,2719
1477,5017
1478,13575
1479,4049
1480,2076
1481,11818
1482,2330
1483,11882
1484,5997
1485,9056
1486,12453
1487,4129
1488,10937
1489,7084
1490,7004
1491,11184
1492,2741
1493,618
1494,3717
1495,5531
1496,531
1497,6596
1498,2357
1499,3290
1500,3302
1501,4063
1502,8572
1503,12682
1504,11767
1505,5288
1506,7294
1507,13006
1508,8660
1509,13261
1510,3265
1511,8745
1512,2698
1513,5225
1514,11189
1515,6417
1516,7488
1517,13498
1518,3163
1519,4102
1520,9861
1521,5609
1522,11922
1523,3307
1524,11282
1525,4615
1526,6365
1527,5270
1528,7995
1529,2622
1530,10769
1531,12779
1532,4551
1533,6358
1534,6735
1535,8623
1536,5537
1537,5978
1538,7996
1539,348
1540,13413
1541,2866
1542,4522
1543,4273
1544,6852
1545,3923
1546,6552
1547,11089
1548,1592
1549,6110
1550,2783
1551,2200
1552,555
1553,9707
1554,1864
1555,9805
1556,7919
1557,5921
1558,4083
1559,1172
1560,10111
1561,6778
1562,9838
1563,9584
1564,1596
1565,9391
1566,2977
1567,8394
1568,4011
1569,13203
1570,13615
1571,1234
1572,5143
1573,11831
1574,993
1575,6193
1576,6346
1577,7955
1578,1945
1579,4558
1580,537
1581,6734
1582,1320
1583,12126
1584,13139
1585,4602
1586,12251
1587,10968
1588,4016
1589,1968
1590,3499
1591,6372
1592,4350
1593,12774
1594,4463
1595,2235
1596,181
1597,10878
1598,10775
1599,5866
1600,1804
1601,13275
1602,8841
1603,10766
1604,10624
1605,5813
1606,277
1607,1150
1608,1145
1609,10057
1610,6195
1611,12091
1612,186
1613,3248
1614,5987
1615,2043
1616,3976
1617,13181
1618,1331
1619,11624
1620,13432
1621,5113
1622,1913
1623,9277
1624,10247
1625,10809
1626,105
1627,2917
1628,12421
1629,6076
1630,3486
1631,9360
1632,12623
1633,12142
1634,3795
1635,12712
1636,9597
1637,9689
1638,9493
1639,6783
1640,2294
1641,2514
1642,185
1643,12017
1644,8848
1645,7317
1646,149
1647,1964
1648,6184
1649,7103
1650,2050
1651,12454
1652,12015
1653,2363
1654,4688
1655,3970
1656,2087
1657,4742
1658,8925
1659,5180
1660,10506
1661,1687
1662,5559
1663,4178
1664,9422
1665,13330
1666,9891
1667,5576
1668,2681
1669,5029
1670,4604
1671,9017
1672,2479
1673,896
1674,4416
1675,11411
1676,10670
1677,8983
1678,2052
1679,6494
1680,9491
1681,12230
1682,5578
1683,6098
1684,5020
1685,10062
1686,3886
1687,10848
1688,5034
1689,3272
1690,8139
1691,9023
1692,7742
1693,10123
1694,5401
1695,8230
1696,9783
1697,7590
1698,2159
1699,1540
1700,6700
1701,5794
1702,88
1703,2310
1704,12313
1705,557
1706,11474
1707,8284
1708,847
1709,2919
1710,11266
1711,9133
1712,9423
1713,2463
1714,10241
1715,668
1716,4687
1717,8098
1718,8161
1719,5194
1720,6806
1721,11034
1722,3587
1723,813
1724,5610
1725,7705
1726,11889
1727,2021
1728,11176
1729,3713
1730,13591
1731,12053
1732,12082
1733,11688
1734,7629
1735,1767
1736,13041
1737,174
1738,12013
1739,12051
1740,4149
1741,7510
1742,1160
1743,8813
1744,8622
1745,2603
1746,9337
1747,3407
1748,9304
1749,2465
1750,6473
1751,1361
1752,3741
1753,5957
1754,2192
1755,5631
1756,2999
1757,1445
1758,7107
1759,5882
1760,1628
1761,4024
1762,5204
1763,3194
1764,7781
1765,2129
1766,3367
1767,6131
1768,11153
1769,10543
1770,2340
1771,6670
1772,2790
1773,7446
1774,2393
1775,4199
1776,91
1777,11817
1778,11819
1779,8661
1780,9427
1781,4655
1782,9324
1783,12874
1784,5905
1785,12636
1786,6085
1787,6893
1788,12471
1789,4402
1790,2009
1791,8941
1792,12587
1793,12148
1794,7951
1795,3042
1796,1625
1797,8679
1798,6476
1799,282
1800,7855
1801,12282
1802,8549
1803,5937
1804,12510
1805,1488
1806,13035
1807,2640
1808,6543
1809,6948
1810,1842
1811,5933
1812,2165
1813,12873
1814,2380
1815,12765
1816,5857
1817,10021
1818,4248
1819,2038
1820,4603
1821,12877
1822,11625
1823,1579
1824,9129
1825,12021
1826,10301
1827,9029
1828,4168
1829,1343
1830,9653
1831,7979
1832,12499
1833,1038
1834,8044
1835,5280
1836,13304
1837,8669
1838,3855
1839,11531
1840,9312
1841,3082
1842,9481
1843,4870
1844,10268
1845,6205
1846,4871
1847,9793
1848,4511
1849,4215
1850,12144
1851,2750
1852,10739
1853,10167
1854,7286
1855,13600
1856,8571
1857,5172
1858,12781
1859,9734
1860,459
1861,592
1862,3509
1863,12280
1864,5283
1865,8542
1866,9166
1867,11102
1868,8695
1869,8179
1870,6269
1871,5749
1872,13384
1873,5356
1874,7957
1875,7402
1876,1120
1877,3123
1878,8857
1879,5382
1880,4318
1881,1732
1882,2066
1883,5011
1884,2400
1885,9666
1886,12919
1887,13243
1888,8339
1889,12951
1890,12028
1891,6721
1892,6710
1893,1052
1894,12010
1895,10498
1896,7273
1897,10282
1898,4088
1899,9086
1900,604
1901,12157
1902,7612
1903,6843
1904,3495
1905,8495
1906,12370
1907,11441
1908,12582
1909,13105
1910,2504
1911,1648
1912,5696
1913,12710
1914,6209
1915,12939
1916,2660
1917,7013
1918,10298
1919,8557
1920,3062
1921,4869
1922,13091
1923,4581
1924,12198
1925,2812
1926,7029
1927,12334
1928,4592
1929,7909
1930,1489
1931,5019
1932,960
1933,3177
1934,9151
1935,1149
1936,4639
1937,10184
1938,404
1939,1594
1940,2518
1941,395
1942,3395
1943,1669
1944,8920
1945,861
1946,9239
1947,1529
1948,11373
1949,5911
1950,9794
1951,9463
1952,6695
1953,3292
1954,7240
1955,7844
1956,9003
1957,3731
1958,10472
1959,6312
1960,3139
1961,11362
1962,120
1963,10192
1964,11008
1965,4704
1966,10686
1967,12482
1968,834
1969,2048
1970,5330
1971,11514
1972,13270
1973,2313
1974,10604
1975,2113
1976,2343
1977,8340
1978,8595
1979,5540
1980,124
1981,3960
1982,13596
1983,9317
1984,11915
1985,12749
1986,1774
1987,129
1988,1869
1989,6567
1990,12652
1991,1631
1992,4780
1993,2089
1994,11638
1995,4431
1996,6170
1997,9074
1998,12020
1999,7283
2000,6502
2001,9873
2002,9426
2003,746
2004,9593
2005,1966
2006,12972
2007,3084
2008,7570
2009,4544
2010,10729
2011,7360
2012,7903
2013,755
2014,1454
2015,2147
2016,4594
2017,10755
2018,12688
2019,4898
2020,4620
2021,7524
2022,11876
2023,11144
2024,7548
2025,10800
2026,2729
2027,2599
2028,11030
2029,908
2030,12387
2031,12029
2032,2379
2033,4263
2034,3930
2035,6881
2036,12185
2037,12886
2038,4717
2039,2095
2040,1106
2041,2597
2042,3077
2043,6857
2044,559
2045,13068
2046,3535
2047,12263
2048,4499
2049,7001
2050,4949
2051,838
2052,8881
2053,13078
2054,8202
2055,127
2056,1040
2057,13111
2058,9727
2059,11827
2060,9109
2061,8398
2062,8746
2063,12362
2064,6150
2065,4435
2066,12927
2067,5787
2068,9630
2069,4466
2070,3720
2071,7151
2072,4328
2073,7428
2074,13402
2075,2685
2076,3474
2077,3789
2078,921
2079,3409
2080,10276
2081,2724
2082,1183
2083,12424
2084,719
2085,4720
2086,11524
2087,9908
2088,4151
2089,9705
2090,12176
2091,6265
2092,12743
2093,4574
2094,13082
2095,2744
2096,6709
2097,8397
2098,6438
2099,5960
2100,2227
2101,2637
2102,7110
2103,12910
2104,4554
2105,3494
2106,12649
2107,9076
2108,12022
2109,7890
2110,2181
2111,1304
2112,11878
2113,7901
2114,11653
2115,13614
2116,6330
2117,12414
2118,5831
2119,7884
2120,1685
2121,8733
2122,4981
2123,4520
2124,8986
2125,7652
2126,3175
2127,190
2128,7015
2129,9381
2130,8931
2131,4480
2132,9667
2133,3516
2134,12690
2135,7700
2136,11585
2137,1019
2138,6774
2139,2799
2140,6211
2141,4038
2142,10405
2143,10381
2144,2349
2145,8110
2146,9339
2147,2014
2148,2210
2149,4008
2150,3246
2151,7820
2152,2979
2153,9614
2154,10558
2155,10762
2156,1832
2157,13572
2158,1168
2159,1281
2160,1337
2161,12680
2162,7646
2163,11578
2164,7702
2165,3325
2166,1080
2167,12509
2168,8993
2169,6940
2170,8262
2171,1791
2172,10536
2173,12204
2174,4575
2175,7806
2176,8716
2177,13037
2178,3382
2179,1287
2180,4406
2181,11885
2182,11291
2183,8186
2184,7780
2185,9008
2186,5246
2187,10374
2188,12175
2189,2845
2190,1762
2191,2222
2192,9615
2193,12443
2194,2873
2195,12299
2196,13113
2197,9723
2198,12683
2199,10675
2200,6847
2201,9147
2202,6356
2203,3763
2204,311
2205,6950
2206,890
2207,7058
2208,6256
2209,10699
2210,5234
2211,8825
2212,7727
2213,4759
2214,2542
2215,11209
2216,11108
2217,9978
2218,764
2219,12360
2220,8040
2221,8114
2222,9951
2223,1298
2224,12179
2225,12556
2226,9834
2227,11935
2228,8868
2229,4646
2230,135
2231,6278
2232,8116
2233,2354
2234,4827
2235,8784
2236,10602
2237,2975
2238,8211
2239,12338
2240,11711
2241,3473
2242,8414
2243,4842
2244,3165
2245,3661
2246,9679
2247,13374
2248,7162
2249,2772
2250,11417
2251,5409
2252,13248
2253,4234
2254,8025
2255,4518
2256,2929
2257,13277
2258,13284
2259,10740
2260,13603
2261,6022
2262,4822
2263,1323
2264,1460
2265,827
2266,12651
2267,10703
2268,11367
2269,10375
2270,11383
2271,11793
2272,9295
2273,13052
2274,10170
2275,8331
2276,646
2277,5137
2278,3209
2279,3800
2280,10217
2281,6034
2282,9784
2283,2884
2284,9205
2285,4094
2286,5539
2287,5907
2288,7481
2289,4942
2290,4776
2291,10280
2292,10313
2293,2288
2294,5715
2295,11128
2296,6257
2297,165
2298,2290
2299,3726
2300,4528
2301,13472
2302,5596
2303,201
2304,8272
2305,7756
2306,11052
2307,13460
2308,12798
2309,2065
2310,2358
2311,11442
2312,5795
2313,8781
2314,8127
2315,9112
2316,3694
2317,3134
2318,1225
2319,625
2320,9767
2321,10973
2322,2328
2323,2248
2324,11695
2325,5318
2326,12707
2327,11787
2328,9177
2329,6324
2330,4048
2331,5989
2332,3835
2333,6262
2334,10922
2335,4752
2336,5809
2337,3204
2338,11632
2339,7826
2340,7964
2341,12252
2342,6136
2343,2797
2344,7675
2345,7316
2346,12905
2347,13628
2348,5024
2349,6836
2350,7302
2351,6512
2352,6865
2353,8744
2354,4640
2355,4807
2356,9511
2357,5801
2358,10348
2359,1857
2360,12435
2361,8901
2362,1747
2363,11670
2364,4599
2365,8286
2366,13523
2367,6608
2368,9925
2369,8499
2370,9990
2371,11325
2372,517
2373,11360
2374,3475
2375,11712
2376,13230
2377,12881
2378,6489
2379,6574
2380,4019
2381,118
2382,7768
2383,1507
2384,6115
2385,12034
2386,10116
2387,12351
2388,13114
2389,7680
2390,1818
2391,12216
2392,5385
2393,10917
2394,4299
2395,6383
2396,4866
2397,4890
2398,12462
2399,3270
2400,1284
2401,316
2402,6049
2403,2362
2404,1042
2405,2085
2406,2700
2407,11165
2408,7453
2409,9548
2410,8187
2411,8872
2412,8109
2413,4212
2414,6167
2415,7191
2416,9160
2417,4227
2418,6389
2419,6793
2420,11997
2421,12976
2422,7098
2423,9853
2424,1587
2425,10850
2426,8914
2427,13377
2428,5669
2429,7718
2430,5556
2431,698
2432,7487
2433,11945
2434,10954
2435,9114
2436,4580
2437,13439
2438,2364
2439,11035
2440,7575
2441,3562
2442,7774
2443,4139
2444,4925
2445,369
2446,2728
2447,7406
2448,6244
2449,6654
2450,12490
2451,12477
2452,12381
2453,3681
2454,5878
2455,1718
2456,8794
2457,8792
2458,7164
2459,585
2460,11380
2461,5299
2462,10128
2463,5880
2464,11566
2465,6310
2466,9143
2467,1258
2468,12284
2469,2094
2470,2900
2471,7882
2472,6849
2473,8785
2474,11454
2475,4758
2476,8601
2477,5645
2478,2598
2479,3740
2480,12375
2481,9860
2482,4467
2483,13034
2484,11316
2485,10873
2486,6768
2487,3831
2488,8554
2489,11636
2490,6597
2491,10290
2492,12117
2493,69
2494,9828
2495,566
2496,4621
2497,11234
2498,6351
2499,7988
2500,11400
2501,3860
2502,3445
2503,6357
2504,8916
2505,7521
2506,4071
2507,4648
2508,7478
2509,9229
2510,11963
2511,12537
2512,13564
2513,5368
2514,10820
2515,4902
2516,7674
2517,3686
2518,10511
2519,1606
2520,5294
2521,8365
2522,1645
2523,155
